,City,Average_price,State,SunHours
0,Alameda,574.3299902,CA,1178.8
1,American+Canyon,284.4206962,CA,1231.9
2,Antioch,237.7732742,CA,1277.8
3,Belmont,918.6369606,CA,1090.15
4,Benicia,336.4235426,CA,1329.8
5,Berkeley,690.9238017,CA,1170.2
6,Brentwood,251.9083412,CA,1277.8
7,Burlingame,1145.094973,CA,1218.55
8,Campbell,811.0249475,CA,1253.9
9,Concord,377.6080985,CA,1212.8
10,Cupertino,1167.892569,CA,1253.3
11,Daly+City,656.4771913,CA,1095.6
12,Danville,490.517462,CA,1203.7
13,Dublin,487.8824519,CA,1278.3
14,Fairfield,240.499809,CA,1258
15,Foster+City,888.3796349,CA,1165.8
16,Fremont,648.1428098,CA,1272.1
17,Gilroy,352.3885397,CA,1276.8
18,Hayward,435.7512131,CA,1222.5
19,Hercules,328.2794639,CA,1189.3
20,Lafayette,647.3745875,CA,1199
21,Livermore,463.6116418,CA,1275.7
22,Los+Altos,1347.298813,CA,1248.1
23,Los+Gatos,828.954005,CA,1253.9
24,Martinez,366.6254898,CA,1329.8
25,Menlo+Park,1301.411559,CA,1315.65
26,Mill+Valley,779.0210689,CA,1130.6
27,Milpitas,678.9050058,CA,1289.6
28,Morgan+Hill,426.1389433,CA,1289.5
29,Mountain+View,1090.574178,CA,1248.1
30,Napa,387.2108233,CA,1231.9
31,Newark,628.5185485,CA,1253.1
32,Novato,457.2605007,CA,1167.4
33,Oakland,487.5392728,CA,1161.3
34,Oakley,245.7108786,CA,1277.8
35,Orinda,510.2959875,CA,1199
36,Pacifica,702.4744851,CA,1064
37,Palo+Alto,1502.133603,CA,1315.65
38,Pinole,346.3864961,CA,1189.1
39,Pittsburg,266.0971885,CA,1352.5
40,Pleasant+Hill,440.2473169,CA,1212.8
41,Pleasanton,558.1022272,CA,1278.3
42,Redwood+City,925.3250824,CA,1261.25
43,Richmond,377.24747,CA,1168.5
44,Rohnert+Park,352.3057155,CA,1208.8
45,San+Bruno,737.5417187,CA,1129.9
46,San+Carlos,1046.027046,CA,1252.9
47,San+Francisco,993.8790177,CA,1228.15
48,San+Jose,656.6548316,CA,1362.15
49,San+Leandro,464.8410375,CA,1187.2
50,San+Mateo,922.5806282,CA,1165.8
51,San+Pablo,325.8712507,CA,1168.5
52,San+Rafael,540.2269807,CA,1130.6
53,San+Ramon,482.2197065,CA,1207.6
54,Santa+Clara,878.6565262,CA,1356.8
55,Santa+Rosa,388.6528566,CA,1220.1
56,Saratoga,1060.198951,CA,1253.3
57,Sonoma,525.3749646,CA,1223.5
58,South+San+Francisco,715.9307466,CA,1129.9
59,Suisun+City,239.2162784,CA,1258
60,Sunnyvale,1098.385643,CA,1255.8
61,Union+City,530.5934273,CA,1228.5
62,Vacaville,253.403344,CA,1286.4
63,Vallejo,263.7841607,CA,1206.1
64,Walnut+Creek,473.8003974,CA,1214.1
